ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       ISS.EarthMJ2000Eq.VX      ISS.EarthMJ2000Eq.VY      ISS.ElapsedSecs           Spacecraft1.EarthMJ2000Eq.X   Spacecraft1.EarthMJ2000Eq.Y   Spacecraft1.EarthMJ2000Eq.Z   Spacecraft1.EarthMJ2000Eq.VX   Spacecraft1.EarthMJ2000Eq.VY   Spacecraft1.EarthMJ2000Eq.VZ   Spacecraft1.ElapsedSecs   Spacecraft2.EarthMJ2000Eq.X   Spacecraft2.EarthMJ2000Eq.Y   Spacecraft2.EarthMJ2000Eq.Z   Spacecraft2.EarthMJ2000Eq.VX   Spacecraft2.EarthMJ2000Eq.VY   Spacecraft2.EarthMJ2000Eq.VZ   Spacecraft2.ElapsedSecs   Spacecraft3.EarthMJ2000Eq.X   Spacecraft3.EarthMJ2000Eq.Y   Spacecraft3.EarthMJ2000Eq.Z   Spacecraft3.EarthMJ2000Eq.VX   Spacecraft3.EarthMJ2000Eq.VY   Spacecraft3.EarthMJ2000Eq.VZ   Spacecraft3.ElapsedSecs   
5187.056986224973         4352.457604036907         -1.299732926506281e-12    -3.064889592472937        3.652593182734229         0                         1964.155499791291             6175.00651265897              1839.940607230725             -5.09912640094302              -0.07984680685478063           5.807213956716488              0                         5066.784207671944             4501.636467097513             92.83750180576544             -3.218763359164821             3.498778565191433              6.017405444782301              0                         -3299.09931554754             -3012.247716945235            5387.045561208572             2.636126822943653              -6.775665310345833             -2.027250667945002             0                         
4991.30519285958          4561.374956637483         360.673154613238          -3.457652060345799        3.308633098752306         59.99999988125637         1653.835509307979             6155.720672851279             2183.767200726981             -5.240800955672796             -0.5626840934681618            5.649198863630933              59.99999988125637         4862.121740856529             4701.020187553787             453.3887265303834             -3.600694178270666             3.144790924246128              5.996333919330382              59.99999988125637         -3134.162784823475            -3412.224574427553            5254.232689993626             2.859746183044588              -6.552364332548368             -2.398134879315138             59.99999988125637         
4430.414559991556         4974.37057855532          1214.68429807056          -4.330070179143715        2.425676137118894         203.7254423950799         881.7656999701893             5992.559034737856             2962.64839113235              -5.478664822898059             -1.702134500355678             5.165117225536575              203.7254423950799         4282.669517512196             5088.922698052236             1305.400173607191             -4.444810967840715             2.241142131864465              5.833523747404613              203.7254423950799         -2687.484897039098            -4309.635464290885            4848.249192354809             3.343110678901085              -5.911369527263752             -3.239155880268805             203.7254423950799         
3674.820150923008         5277.110654738796         2119.921832840146         -5.15955437382078         1.376574735332517         362.5405096099712         2.008615042729836             5625.832688643354             3729.937624538244             -5.570050309391949             -2.902740596595985             4.471574763802169              362.5405096099712         3511.539754939594             5360.91998450502              2205.756071475019             -5.240025026445614             1.175009465525742              5.474270251502403              362.5405096099712         -2120.329111640779            -5181.762048425073            4266.170396479797             3.781536966948352              -5.046062804355961             -4.072477684122664             362.5405096099712         
2788.060198037599         5409.868918794406         2967.045801142978         -5.829534444654764        0.268736024223121         523.4809660585597         -889.4791697531232            5067.312533071885             4383.103784124383             -5.477587257041983             -4.017720506919634             3.623244265343706              523.4809660585597         2614.765615510723             5460.288492835447             3045.311501269851             -5.873279862188819             0.05648955728984234            4.929934936237756              523.4809660585597         -1483.506134622746            -5913.631992603612            3551.013359061631             4.112436252142946              -4.027575172584686             -4.792087496152905             523.4809660585597         
1805.008907877018         5362.658975528191         3718.050469416956         -6.307172273591161        -0.8514630627407199       685.0240872125141         -1754.512331789448            4337.056001046026             4891.535678099618             -5.202314104157976             -4.997154539506854             2.654619220179134              685.0240872125141         1627.684459065873             5378.382973791165             3786.380291277796             -6.313295249282823             -1.067631974932777             4.219346131855279              685.0240872125141         -800.5712072720652            -6473.914066265843            2728.2275856303               4.321694924293329              -2.89306466731731              -5.368799786293796             685.0240872125141         
758.6244235623288         5135.447158702767         4346.120743834634         -6.574354666688897        -1.945509389739974        847.0303662470542         -2563.221431699204            3459.355143764449             5237.014719378966             -4.753821095240218             -5.807186994109411             1.59936413747419               847.0303662470542         583.341740004964              5116.291088637477             4402.498751894455             -6.543197555315444             -2.158822111449487             3.365438308103352              847.0303662470542         -92.06945771972505            -6844.880086771142            1822.413434054585             4.403298929678324              -1.67633151328117              -5.785703659309711             847.0303662470542         
-314.3134976554219        4735.371135046962         4828.298014783036         -6.620686042936327        -2.974538054420231        1009.200546273496         -3287.063361648444            2465.089520299383             5407.250195835405             -4.148759897224335             -6.420065492181806             0.4952166091009715             1009.200546273496         -481.6167965440206            4682.301373992747             4871.118584943923             -6.553785903255356             -3.178400618499259             2.397687473887068              1009.200546273496         619.8677867046515             -7014.781188503003            861.8962330347089             4.35529983058855               -0.4147512560036766            -6.030752989831755             1009.200546273496         
-1377.244879090979        4175.788790007008         5147.83971065501          -6.444353148534275        -3.903495959232777        1171.456883044448         -3901.845872440016            1388.185199545246             5397.001610783624             -3.408740044550269             -6.816834186530832             -0.6202345755387879            1171.456883044448         -1530.960386539516            4090.832713481124             5175.920487431017             -6.344276343373717             -4.091667261426577             1.348771210505277              1171.456883044448         1314.002263510861             -6978.925432203782            -124.5028455730479            4.179865651408738              0.85493915948335               -6.097884216146212             1171.456883044448         
-2394.240700436153        3475.466272677354         5293.769817410656         -6.051184963312293        -4.701118470718562        1333.776508423034         -4387.500853709816            264.8058390487332             5207.279879316876             -2.559313250824987             -6.986315045226664             -1.71004790375663              1333.776508423034         -2529.247558837847            3361.63305676939              5306.361140852093             -5.921391977543525             -4.867841497166707             0.2538629702907067             1333.776508423034         1969.94727401498              -6738.752868018337            -1107.642142318837            3.882633710212984              2.096614154386128              -5.986096215235531             1333.776508423034         
